2018-10-27T15:03:18+02:00 - 1 + 2 = 3
2018-10-27T15:03:18+02:00 - 1 + 3 = 4
2018-10-27T15:03:18+02:00 - 1 + 4 = 5
2018-10-27T15:03:18+02:00 - 2 + 5 = 7
2018-10-27T15:03:18+02:00 - 2 + 2 = 4
2018-10-27T15:03:18+02:00 - 2 + 3 = 5
2018-10-27T15:03:18+02:00 - 2 + 4 = 6
2018-10-27T15:03:18+02:00 - 3 + 5 = 8
2018-10-27T15:03:18+02:00 - 3 + 2 = 5
2018-10-27T15:03:18+02:00 - 3 + 3 = 6
2018-10-27T15:03:18+02:00 - 3 + 4 = 7
2018-10-27T15:03:18+02:00 - 4 + 5 = 9
2018-10-27T15:03:18+02:00 - 4 + 2 = 6
2018-10-27T15:03:18+02:00 - 4 + 3 = 7
2018-10-27T15:03:18+02:00 - 4 + 4 = 8
2018-10-27T15:03:18+02:00 - 5 + 5 = 10
